Page,Custom_PageRank,NetworkX_PageRank,Difference
HomePage,0.22272376939845537,0.22272381774664626,4.834819089527542e-08
AboutUs,0.15271894172741157,0.1527172955201713,1.6462072402745331e-06
Products,0.13530007450171355,0.13530129612210862,1.221620395064349e-06
Services,0.12683647399231185,0.12683736911597357,8.951236617205094e-07
Contact,0.08332239171122949,0.08332266790410367,2.7619287418234606e-07
Team,0.07947262082409035,0.07947127413507143,1.3466890189106628e-06
History,0.05577028796379728,0.05576964360981709,6.443539801864739e-07
Reviews,0.05437673689635017,0.05437735083107463,6.139347244610294e-07
Pricing,0.048437036317973664,0.04843761834836703,5.820303933673499e-07
FAQ,0.01604166666666667,0.016041666666666666,3.469446951953614e-18
Support,0.012500000000000002,0.0125,1.734723475976807e-18
Blog,0.012500000000000002,0.0125,1.734723475976807e-18
