Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,ADA,Crypto,0.5,0.5,0.5,0.5,854408
2015-01-02,ADA,Crypto,0.51,0.51,0.5,0.51,909047
2015-01-05,ADA,Crypto,0.51,0.52,0.5,0.51,933383
2015-01-06,ADA,Crypto,0.5,0.5,0.49,0.5,670819
2015-01-07,ADA,Crypto,0.48,0.48,0.47,0.48,711642
2015-01-08,ADA,Crypto,0.46,0.46,0.46,0.46,590497
2015-01-09,ADA,Crypto,0.47,0.47,0.47,0.47,630124
2015-01-12,ADA,Crypto,0.48,0.47,0.47,0.47,898724
2015-01-13,ADA,Crypto,0.47,0.48,0.47,0.48,945001
2015-01-14,ADA,Crypto,0.48,0.48,0.48,0.48,750170
2015-01-15,ADA,Crypto,0.52,0.52,0.51,0.52,1005049
2015-01-16,ADA,Crypto,0.53,0.54,0.52,0.53,893411
2015-01-19,ADA,Crypto,0.56,0.56,0.55,0.56,765537
2015-01-20,ADA,Crypto,0.55,0.55,0.55,0.55,901466
2015-01-21,ADA,Crypto,0.54,0.54,0.53,0.54,743469
2015-01-22,ADA,Crypto,0.55,0.56,0.55,0.55,938668
2015-01-23,ADA,Crypto,0.58,0.58,0.58,0.58,680405
2015-01-26,ADA,Crypto,0.56,0.56,0.56,0.56,939726
2015-01-27,ADA,Crypto,0.56,0.57,0.56,0.56,887321
2015-01-28,ADA,Crypto,0.56,0.57,0.57,0.57,728260
2015-01-29,ADA,Crypto,0.53,0.53,0.52,0.53,680214
2015-01-30,ADA,Crypto,0.56,0.56,0.56,0.56,866000
2015-02-02,ADA,Crypto,0.56,0.56,0.55,0.56,772374
2015-02-03,ADA,Crypto,0.55,0.55,0.55,0.55,991019
2015-02-04,ADA,Crypto,0.52,0.52,0.5,0.52,633980
2015-02-05,ADA,Crypto,0.48,0.48,0.47,0.47,599357
2015-02-06,ADA,Crypto,0.45,0.46,0.45,0.46,932523
2015-02-09,ADA,Crypto,0.49,0.49,0.49,0.49,869667
2015-02-10,ADA,Crypto,0.48,0.49,0.48,0.48,702577
2015-02-11,ADA,Crypto,0.5,0.5,0.5,0.5,644758
