Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,AMZN,Stock,300.79,302.03,296.45,300,16265708
2015-01-02,AMZN,Stock,306.07,307.01,302.86,304.46,15871996
2015-01-05,AMZN,Stock,291.97,296.15,288.67,293.4,12763403
2015-01-06,AMZN,Stock,281.32,283.36,280.47,281.25,15624298
2015-01-07,AMZN,Stock,276.46,279.2,272.08,276.19,16769311
2015-01-08,AMZN,Stock,287.46,289.83,284.68,287.79,15063523
2015-01-09,AMZN,Stock,276.47,278.78,274.14,275.96,17983423
2015-01-12,AMZN,Stock,271.76,275.28,271.4,272.78,11697152
2015-01-13,AMZN,Stock,278.55,282.63,279.82,280.79,13787230
2015-01-14,AMZN,Stock,283.9,287.02,281.22,284.54,13952914
2015-01-15,AMZN,Stock,266.02,264.0,258.17,263.55,17115877
2015-01-16,AMZN,Stock,264.24,263.4,260.72,262.59,17033343
2015-01-19,AMZN,Stock,266.32,266.48,263.9,265.66,17602282
2015-01-20,AMZN,Stock,256.39,258.41,256.59,257.34,16350992
2015-01-21,AMZN,Stock,252.52,256.46,252.22,254.59,17502597
2015-01-22,AMZN,Stock,251.31,254.95,252.63,253.74,14986158
2015-01-23,AMZN,Stock,248.3,251.74,244.69,249.17,18705823
2015-01-26,AMZN,Stock,243.76,243.77,242.1,242.53,12217153
2015-01-27,AMZN,Stock,245.07,244.49,242.82,243.91,12852718
2015-01-28,AMZN,Stock,231.2,231.82,229.27,230.06,11293432
2015-01-29,AMZN,Stock,245.21,247.13,243.6,244.61,11123474
2015-01-30,AMZN,Stock,237.85,238.5,236.98,237.17,19144780
2015-02-02,AMZN,Stock,249.39,254.23,247.12,250.38,14297863
2015-02-03,AMZN,Stock,249.11,251.3,247.65,250.4,10823315
2015-02-04,AMZN,Stock,259.73,259.92,255.76,258.13,14712216
2015-02-05,AMZN,Stock,255.61,257.59,255.38,257.44,17342849
2015-02-06,AMZN,Stock,268.31,272.72,265.52,268.21,15310499
2015-02-09,AMZN,Stock,259.6,264.9,260.28,260.78,11214039
2015-02-10,AMZN,Stock,260.03,262.64,259.76,261.5,13905383
2015-02-11,AMZN,Stock,255.4,257.78,253.85,254.64,12447418
2015-02-12,AMZN,Stock,250.14,253.87,249.06,251.47,15591583
