Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,BTC,Crypto,4979.8,5087.0,4954.79,5000,2375436
2015-01-02,BTC,Crypto,4906.44,4933.55,4854.28,4908.09,2441267
2015-01-05,BTC,Crypto,4675.55,4693.73,4623.15,4663.27,1644867
2015-01-06,BTC,Crypto,4700.22,4747.3,4680.56,4703.27,1884915
2015-01-07,BTC,Crypto,4677.09,4709.8,4644.38,4663.21,1482970
2015-01-08,BTC,Crypto,4652.59,4671.9,4581.9,4610.54,1480362
2015-01-09,BTC,Crypto,4524.07,4508.63,4484.58,4492.65,1954401
2015-01-12,BTC,Crypto,4557.16,4594.58,4551.66,4584.4,1780538
2015-01-13,BTC,Crypto,4822.18,4855.97,4748.35,4811.97,1948333
2015-01-14,BTC,Crypto,4789.1,4863.36,4827.52,4836.04,2454410
2015-01-15,BTC,Crypto,4787.97,4776.21,4752.34,4771.95,1703564
2015-01-16,BTC,Crypto,4857.75,4918.31,4834.58,4880.87,1816290
2015-01-19,BTC,Crypto,5117.87,5133.17,5032.9,5118.45,2232024
2015-01-20,BTC,Crypto,5219.43,5262.83,5207.7,5239.78,1902241
2015-01-21,BTC,Crypto,5762.98,5739.35,5689.69,5737.57,1434232
2015-01-22,BTC,Crypto,6010.5,6073.54,6047.17,6047.72,2090819
2015-01-23,BTC,Crypto,5600.9,5683.39,5575.44,5628.39,1439772
2015-01-26,BTC,Crypto,5630.11,5675.86,5580.83,5611.17,2050667
2015-01-27,BTC,Crypto,5492.32,5587.7,5535.21,5545.41,2223681
2015-01-28,BTC,Crypto,5379.43,5374.03,5302.82,5365.14,1533329
2015-01-29,BTC,Crypto,5359.25,5378.05,5321.45,5327.72,1985429
2015-01-30,BTC,Crypto,5629.35,5641.83,5551.84,5633.76,1559769
2015-02-02,BTC,Crypto,6241.82,6319.7,6191.4,6287.76,2511151
2015-02-03,BTC,Crypto,6015.55,6003.18,5967.75,5976.99,1917608
2015-02-04,BTC,Crypto,5922.36,5930.65,5844.84,5911.48,1914057
2015-02-05,BTC,Crypto,5930.88,5996.9,5933.31,5957.24,1593490
2015-02-06,BTC,Crypto,6138.27,6179.9,6146.88,6157.2,2032372
2015-02-09,BTC,Crypto,5628.57,5637.92,5559.62,5607.67,2587750
