Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,ETH,Crypto,198.44,202.41,197.43,200,1467178
2015-01-02,ETH,Crypto,204.48,208.27,202.69,205.33,1761283
2015-01-05,ETH,Crypto,208.57,209.74,205.47,207.53,1397972
2015-01-06,ETH,Crypto,207.08,210.0,207.98,208.08,1652031
2015-01-07,ETH,Crypto,215.25,215.72,211.74,213.92,1225432
2015-01-08,ETH,Crypto,211.33,214.92,210.49,212.98,1091420
2015-01-09,ETH,Crypto,208.19,208.62,206.4,208.46,1697638
2015-01-12,ETH,Crypto,205.71,206.09,202.66,204.95,1320135
2015-01-13,ETH,Crypto,198.46,202.41,197.78,199.45,1328309
2015-01-14,ETH,Crypto,181.33,182.19,179.61,181.75,1940555
2015-01-15,ETH,Crypto,187.81,190.06,185.96,187.14,1927803
2015-01-16,ETH,Crypto,198.63,199.75,198.43,198.93,1209392
2015-01-19,ETH,Crypto,199.26,202.06,196.71,198.1,1224495
2015-01-20,ETH,Crypto,207.32,208.04,202.74,205.72,1422293
2015-01-21,ETH,Crypto,201.84,204.05,202.94,203.36,1795129
2015-01-22,ETH,Crypto,216.75,216.6,212.08,216.33,1503236
2015-01-23,ETH,Crypto,217.37,219.78,217.87,217.87,1829823
2015-01-26,ETH,Crypto,243.64,243.86,241.65,242.48,1871495
2015-01-27,ETH,Crypto,257.94,260.93,253.6,255.79,1681623
2015-01-28,ETH,Crypto,259.86,259.29,256.54,259.0,1832271
2015-01-29,ETH,Crypto,249.63,251.44,249.38,250.74,1672609
2015-01-30,ETH,Crypto,267.8,274.39,266.69,268.43,1354247
2015-02-02,ETH,Crypto,269.42,269.82,266.7,268.51,1178282
2015-02-03,ETH,Crypto,283.14,285.75,277.48,280.55,1328296
2015-02-04,ETH,Crypto,265.81,270.1,261.04,264.61,1802521
2015-02-05,ETH,Crypto,271.96,276.72,270.95,274.56,1424184
2015-02-06,ETH,Crypto,267.87,267.72,264.59,265.71,1580034
2015-02-09,ETH,Crypto,247.81,249.3,244.37,247.44,1401726
2015-02-10,ETH,Crypto,271.98,272.86,269.95,271.16,1428277
2015-02-11,ETH,Crypto,264.13,262.16,260.17,261.55,1621837
2015-02-12,ETH,Crypto,261.73,265.87,257.28,261.26,1246614
2015-02-13,ETH,Crypto,254.68,255.86,248.87,254.19,1301050
2015-02-16,ETH,Crypto,265.31,264.97,262.94,263.19,1334914
2015-02-17,ETH,Crypto,249.61,254.81,250.35,251.74,1634756
2015-02-18,ETH,Crypto,266.26,270.1,263.5,266.07,1596908
2015-02-19,ETH,Crypto,266.25,267.52,265.2,266.94,1635996
2015-02-20,ETH,Crypto,252.64,257.05,251.85,253.83,1825558
2015-02-23,ETH,Crypto,253.73,256.39,254.47,255.04,1837966
2015-02-24,ETH,Crypto,256.6,257.25,256.04,257.09,1688269
2015-02-25,ETH,Crypto,267.35,267.25,265.06,266.7,1633751
2015-02-26,ETH,Crypto,263.13,266.37,263.7,264.07,1133802
2015-02-27,ETH,Crypto,262.32,263.56,260.07,261.16,1501994
2015-03-02,ETH,Crypto,267.12,267.69,266.33,267.66,1323472
2015-03-03,ETH,Crypto,259.37,264.3,256.7,259.14,1246370
2015-03-04,ETH,Crypto,254.14,253.68,252.15,252.53,1696080
