Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,GOOGL,Stock,999.23,1016.28,992.81,1000,14695075
2015-01-02,GOOGL,Stock,1032.47,1047.42,1037.58,1041.33,17021161
2015-01-05,GOOGL,Stock,1047.41,1056.05,1051.24,1053.19,19240667
2015-01-06,GOOGL,Stock,1060.75,1066.94,1057.67,1062.73,25514622
2015-01-07,GOOGL,Stock,1001.67,1011.37,979.52,994.1,17053429
2015-01-08,GOOGL,Stock,1002.82,1009.64,979.95,993.97,17821594
2015-01-09,GOOGL,Stock,1029.65,1046.49,1015.12,1025.1,15842252
2015-01-12,GOOGL,Stock,1035.65,1042.38,1038.12,1041.1,22678629
2015-01-13,GOOGL,Stock,1039.0,1036.99,1024.98,1031.93,20819567
2015-01-14,GOOGL,Stock,1071.99,1075.94,1065.77,1067.11,25791841
2015-01-15,GOOGL,Stock,1076.93,1096.4,1071.82,1084.82,19621453
2015-01-16,GOOGL,Stock,1087.28,1107.94,1084.53,1092.83,20347522
2015-01-19,GOOGL,Stock,1193.6,1191.39,1185.91,1187.45,17890271
2015-01-20,GOOGL,Stock,1199.29,1199.77,1182.04,1191.77,25760433
2015-01-21,GOOGL,Stock,1243.18,1244.75,1232.87,1237.71,17183857
2015-01-22,GOOGL,Stock,1240.8,1242.29,1235.12,1238.02,24495460
2015-01-23,GOOGL,Stock,1244.46,1267.48,1243.05,1256.99,18411209
2015-01-26,GOOGL,Stock,1189.55,1217.97,1191.65,1198.86,19832358
2015-01-27,GOOGL,Stock,1198.25,1209.9,1189.34,1199.34,25246706
2015-01-28,GOOGL,Stock,1168.64,1192.33,1168.92,1178.92,21197421
2015-01-29,GOOGL,Stock,1187.87,1192.68,1177.76,1182.72,17201300
2015-01-30,GOOGL,Stock,1105.92,1119.56,1094.66,1105.06,25472430
2015-02-02,GOOGL,Stock,1177.02,1187.99,1173.28,1183.57,21698157
2015-02-03,GOOGL,Stock,1169.98,1176.83,1156.91,1173.86,20241382
2015-02-04,GOOGL,Stock,1121.17,1122.1,1110.52,1120.16,15634402
2015-02-05,GOOGL,Stock,1105.37,1098.27,1096.69,1097.02,22132904
2015-02-06,GOOGL,Stock,1124.42,1141.04,1127.13,1133.76,21735208
2015-02-09,GOOGL,Stock,1102.9,1107.28,1090.44,1097.68,18111339
2015-02-10,GOOGL,Stock,1128.58,1133.74,1120.8,1124.78,22044775
2015-02-11,GOOGL,Stock,1129.18,1140.48,1119.05,1133.23,24492143
2015-02-12,GOOGL,Stock,1162.81,1175.82,1163.49,1165.82,16686505
2015-02-13,GOOGL,Stock,1128.55,1135.92,1124.4,1129.26,23156933
2015-02-16,GOOGL,Stock,1086.71,1090.95,1072.85,1078.73,24224750
2015-02-17,GOOGL,Stock,1045.31,1058.03,1047.18,1051.65,21559821
2015-02-18,GOOGL,Stock,1028.66,1040.34,1031.0,1034.48,17120436
2015-02-19,GOOGL,Stock,1003.45,1004.2,988.36,1000.48,14687908
2015-02-20,GOOGL,Stock,976.38,990.46,960.57,973.56,19116935
2015-02-23,GOOGL,Stock,903.14,901.1,891.69,900.51,15856902
2015-02-24,GOOGL,Stock,873.27,885.77,876.18,879.96,15378274
2015-02-25,GOOGL,Stock,840.17,846.96,844.75,845.04,25701039
2015-02-26,GOOGL,Stock,854.96,851.17,840.14,847.19,22929690
2015-02-27,GOOGL,Stock,839.93,850.99,831.84,844.01,25415494
2015-03-02,GOOGL,Stock,820.22,827.92,823.04,825.22,14540289
2015-03-03,GOOGL,Stock,820.46,831.31,822.32,826.03,21141484
2015-03-04,GOOGL,Stock,840.37,852.2,844.67,847.87,14052469
2015-03-05,GOOGL,Stock,896.64,912.53,889.09,903.61,24951195
2015-03-06,GOOGL,Stock,904.49,913.5,911.76,912.43,16799629
2015-03-09,GOOGL,Stock,920.15,940.66,916.61,920.09,24630249
2015-03-10,GOOGL,Stock,916.88,926.0,916.18,922.12,20307634
2015-03-11,GOOGL,Stock,969.43,976.24,965.32,973.23,15263971
2015-03-12,GOOGL,Stock,993.66,1014.59,987.69,1000.02,17005774
2015-03-13,GOOGL,Stock,997.6,1008.94,1006.65,1007.29,22126860
2015-03-16,GOOGL,Stock,980.54,987.02,977.32,984.28,18805533
2015-03-17,GOOGL,Stock,1019.87,1012.6,1008.68,1011.72,20454750
2015-03-18,GOOGL,Stock,1044.18,1057.34,1045.9,1051.68,24470956
2015-03-19,GOOGL,Stock,1157.76,1159.38,1132.83,1150.22,20654991
2015-03-20,GOOGL,Stock,1082.97,1098.53,1077.11,1079.07,24574550
2015-03-23,GOOGL,Stock,1103.98,1113.71,1109.36,1110.26,25809249
2015-03-24,GOOGL,Stock,1077.19,1082.91,1073.22,1075.17,24996863
2015-03-25,GOOGL,Stock,1026.34,1042.93,1007.29,1029.39,15933332
2015-03-26,GOOGL,Stock,1030.76,1041.61,1029.57,1036.91,22513868
2015-03-27,GOOGL,Stock,1039.86,1033.91,1026.88,1029.86,16712641
2015-03-30,GOOGL,Stock,1036.72,1043.03,1026.87,1037.1,22527453
2015-03-31,GOOGL,Stock,1097.97,1103.36,1069.32,1088.09,20765527
2015-04-01,GOOGL,Stock,1018.5,1029.23,1015.14,1022.4,23502941
2015-04-02,GOOGL,Stock,1001.59,1008.93,994.35,1006.3,21499354
2015-04-03,GOOGL,Stock,1045.71,1049.54,1033.44,1036.28,20381610
2015-04-06,GOOGL,Stock,1032.27,1035.15,1013.2,1030.25,17959680
2015-04-07,GOOGL,Stock,971.95,982.95,979.04,981.16,23864994
2015-04-08,GOOGL,Stock,958.19,969.52,951.39,963.09,21964233
2015-04-09,GOOGL,Stock,956.65,960.76,959.21,960.09,14343057
2015-04-10,GOOGL,Stock,984.37,988.68,970.55,978.21,21889126
2015-04-13,GOOGL,Stock,988.73,996.58,981.13,987.52,17546499
2015-04-14,GOOGL,Stock,976.42,979.96,964.52,969.33,25181819
2015-04-15,GOOGL,Stock,998.5,1006.59,999.77,1001.19,19546022
2015-04-16,GOOGL,Stock,972.28,988.95,965.25,974.86,19017509
2015-04-17,GOOGL,Stock,1016.45,1028.96,1015.45,1022.59,14328257
2015-04-20,GOOGL,Stock,988.08,995.07,978.82,982.23,16002847
2015-04-21,GOOGL,Stock,982.85,977.81,972.7,977.71,14861525
2015-04-22,GOOGL,Stock,1000.86,1000.04,996.22,998.22,15990717
2015-04-23,GOOGL,Stock,983.22,974.1,973.78,973.85,25491529
2015-04-24,GOOGL,Stock,1030.68,1040.43,1019.25,1028.37,25279395
2015-04-27,GOOGL,Stock,1039.67,1049.27,1030.27,1043.59,20733875
2015-04-28,GOOGL,Stock,1040.06,1039.33,1010.83,1030.27,17237441
2015-04-29,GOOGL,Stock,1028.14,1038.87,1012.72,1035.25,16297184
2015-04-30,GOOGL,Stock,1002.29,1007.22,990.72,999.86,25351325
