Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,Gold,Commodity,1204.04,1227.4,1186.12,1200,4735348
2015-01-02,Gold,Commodity,1202.99,1214.6,1203.48,1209.08,4243830
2015-01-05,Gold,Commodity,1213.62,1225.16,1184.47,1205.66,6211359
2015-01-06,Gold,Commodity,1209.41,1207.83,1184.53,1203.01,5554607
2015-01-07,Gold,Commodity,1205.93,1222.4,1198.28,1206.97,6310374
2015-01-08,Gold,Commodity,1234.93,1253.82,1237.38,1242.13,6219293
2015-01-09,Gold,Commodity,1246.37,1266.66,1238.42,1246.65,5885256
2015-01-12,Gold,Commodity,1233.73,1249.4,1213.81,1230.65,4365468
2015-01-13,Gold,Commodity,1233.35,1243.96,1232.39,1240.5,6233185
2015-01-14,Gold,Commodity,1239.06,1249.29,1229.31,1245.08,6018423
2015-01-15,Gold,Commodity,1228.0,1247.91,1230.93,1232.77,4598715
2015-01-16,Gold,Commodity,1230.28,1233.2,1219.76,1227.06,6385491
2015-01-19,Gold,Commodity,1219.79,1236.9,1220.56,1220.85,4145039
2015-01-20,Gold,Commodity,1203.24,1212.9,1187.86,1191.47,6095547
2015-01-21,Gold,Commodity,1165.7,1177.68,1162.2,1170.96,3703621
2015-01-22,Gold,Commodity,1158.36,1171.0,1158.86,1166.46,3512093
2015-01-23,Gold,Commodity,1159.1,1167.55,1165.56,1165.61,3665161
2015-01-26,Gold,Commodity,1172.79,1188.18,1165.69,1180.67,5894679
2015-01-27,Gold,Commodity,1091.06,1104.23,1095.51,1101.1,4307912
2015-01-28,Gold,Commodity,1092.07,1093.0,1076.37,1090.83,3761479
2015-01-29,Gold,Commodity,1088.8,1101.91,1090.18,1096.85,4448711
2015-01-30,Gold,Commodity,1076.95,1082.17,1062.19,1077.29,3586066
2015-02-02,Gold,Commodity,1084.46,1085.26,1061.58,1079.23,4490764
2015-02-03,Gold,Commodity,1066.53,1085.43,1054.05,1070.93,5770445
2015-02-04,Gold,Commodity,1082.6,1085.32,1067.73,1075.82,5416121
2015-02-05,Gold,Commodity,1104.05,1102.2,1079.7,1095.21,5022012
2015-02-06,Gold,Commodity,1090.68,1089.9,1083.94,1086.25,5592184
2015-02-09,Gold,Commodity,1067.83,1081.54,1068.91,1069.38,4901826
2015-02-10,Gold,Commodity,1071.92,1085.12,1063.57,1076.76,5007802
2015-02-11,Gold,Commodity,1085.04,1095.13,1083.72,1084.12,4298634
2015-02-12,Gold,Commodity,1073.68,1085.41,1055.94,1077.6,3729389
2015-02-13,Gold,Commodity,1077.79,1081.91,1064.01,1076.2,5287358
2015-02-16,Gold,Commodity,1080.62,1092.41,1084.21,1086.09,4114170
2015-02-17,Gold,Commodity,1085.02,1097.95,1087.96,1090.85,4282313
2015-02-18,Gold,Commodity,1094.55,1105.52,1067.32,1090.57,6159028
2015-02-19,Gold,Commodity,1076.11,1093.14,1073.09,1081.88,4842131
2015-02-20,Gold,Commodity,1055.99,1069.0,1062.26,1064.82,4206849
2015-02-23,Gold,Commodity,1058.11,1071.92,1064.91,1066.23,4008648
2015-02-24,Gold,Commodity,1070.64,1092.31,1068.82,1075.73,5532780
2015-02-25,Gold,Commodity,1078.21,1089.31,1071.15,1084.12,4499992
2015-02-26,Gold,Commodity,1080.57,1087.85,1076.23,1082.37,5665033
2015-02-27,Gold,Commodity,1092.35,1090.83,1080.58,1087.19,6035913
2015-03-02,Gold,Commodity,1091.53,1100.3,1069.77,1084.73,6468879
2015-03-03,Gold,Commodity,1091.77,1104.83,1095.86,1097.82,4175825
2015-03-04,Gold,Commodity,1082.14,1094.71,1084.54,1090.12,6303067
2015-03-05,Gold,Commodity,1083.76,1100.11,1077.69,1090.07,5060559
2015-03-06,Gold,Commodity,1078.87,1086.14,1080.49,1083.96,6367686
2015-03-09,Gold,Commodity,1089.79,1102.09,1071.44,1086.34,4421395
2015-03-10,Gold,Commodity,1090.07,1087.54,1082.3,1086.51,6060662
2015-03-11,Gold,Commodity,1093.6,1107.8,1091.86,1097.61,4118953
2015-03-12,Gold,Commodity,1100.53,1116.65,1096.05,1103.92,4194032
2015-03-13,Gold,Commodity,1101.2,1103.87,1086.06,1100.39,5316661
2015-03-16,Gold,Commodity,1101.6,1099.16,1092.13,1095.04,3898000
2015-03-17,Gold,Commodity,1102.1,1112.37,1067.44,1093.29,4002976
2015-03-18,Gold,Commodity,1109.24,1101.82,1093.12,1099.25,5891797
2015-03-19,Gold,Commodity,1104.21,1110.59,1076.08,1095.89,6267700
2015-03-20,Gold,Commodity,1094.75,1115.68,1096.03,1099.44,5674961
2015-03-23,Gold,Commodity,1092.71,1097.48,1090.28,1092.25,4809044
2015-03-24,Gold,Commodity,1077.67,1089.74,1084.04,1086.73,5338642
2015-03-25,Gold,Commodity,1106.85,1119.4,1083.64,1097.01,4068727
2015-03-26,Gold,Commodity,1102.47,1101.59,1089.74,1095.94,6473421
2015-03-27,Gold,Commodity,1098.04,1102.67,1097.37,1098.76,5457806
2015-03-30,Gold,Commodity,1111.99,1125.72,1115.99,1118.7,4575742
2015-03-31,Gold,Commodity,1123.73,1118.59,1109.88,1115.12,6119041
2015-04-01,Gold,Commodity,1123.16,1129.11,1107.46,1114.7,6014329
2015-04-02,Gold,Commodity,1116.15,1127.16,1102.97,1107.99,4284671
2015-04-03,Gold,Commodity,1088.65,1097.29,1087.33,1096.51,4444377
2015-04-06,Gold,Commodity,1099.88,1105.5,1102.3,1105.34,4872441
2015-04-07,Gold,Commodity,1095.32,1094.2,1083.0,1088.32,5560309
2015-04-08,Gold,Commodity,1087.36,1095.62,1086.27,1091.74,5681725
2015-04-09,Gold,Commodity,1114.71,1109.89,1093.43,1107.58,4749328
2015-04-10,Gold,Commodity,1106.79,1118.26,1091.15,1111.09,4984186
2015-04-13,Gold,Commodity,1122.46,1124.43,1108.49,1112.85,4237390
2015-04-14,Gold,Commodity,1108.72,1113.26,1090.45,1110.9,3696900
2015-04-15,Gold,Commodity,1120.82,1121.21,1116.04,1118.6,4135823
2015-04-16,Gold,Commodity,1128.23,1137.34,1116.93,1129.24,3985546
2015-04-17,Gold,Commodity,1133.67,1135.74,1113.04,1123.5,3856039
2015-04-20,Gold,Commodity,1125.89,1135.08,1107.33,1122.28,5504536
2015-04-21,Gold,Commodity,1125.57,1118.96,1109.84,1114.43,4755887
2015-04-22,Gold,Commodity,1104.35,1118.67,1099.81,1108.11,5917397
2015-04-23,Gold,Commodity,1100.41,1114.44,1102.46,1107.33,6485250
2015-04-24,Gold,Commodity,1129.05,1143.59,1110.45,1123.83,4317927
2015-04-27,Gold,Commodity,1119.42,1134.44,1117.89,1123.54,5302587
2015-04-28,Gold,Commodity,1114.68,1121.34,1109.6,1113.4,4086865
2015-04-29,Gold,Commodity,1246.3,1261.66,1241.39,1245.0,4741133
2015-04-30,Gold,Commodity,1271.88,1286.54,1238.99,1265.49,3563769
2015-05-01,Gold,Commodity,1279.39,1300.64,1257.74,1272.95,5021000
2015-05-04,Gold,Commodity,1252.54,1281.98,1249.53,1262.93,4081654
2015-05-05,Gold,Commodity,1275.02,1292.72,1269.16,1280.37,4978195
2015-05-06,Gold,Commodity,1295.29,1302.99,1286.47,1297.23,4704394
2015-05-07,Gold,Commodity,1276.21,1310.12,1263.36,1287.81,5451785
2015-05-08,Gold,Commodity,1306.16,1316.34,1284.32,1301.07,4620521
2015-05-11,Gold,Commodity,1295.98,1305.5,1283.91,1292.11,4292751
2015-05-12,Gold,Commodity,1289.32,1299.96,1255.59,1279.39,5159014
2015-05-13,Gold,Commodity,1271.68,1292.27,1271.29,1275.2,6333137
2015-05-14,Gold,Commodity,1229.01,1250.64,1217.3,1234.42,5553529
2015-05-15,Gold,Commodity,1228.61,1233.05,1219.09,1229.31,3888080
2015-05-18,Gold,Commodity,1235.28,1245.5,1232.87,1236.64,5166444
2015-05-19,Gold,Commodity,1243.84,1254.98,1241.75,1241.9,4402448
2015-05-20,Gold,Commodity,1263.62,1273.62,1249.55,1251.41,3509998
2015-05-21,Gold,Commodity,1248.92,1256.1,1245.66,1252.06,5901529
2015-05-22,Gold,Commodity,1258.84,1261.6,1251.22,1254.06,5699516
2015-05-25,Gold,Commodity,1244.51,1260.63,1246.76,1256.16,6290943
2015-05-26,Gold,Commodity,1237.58,1252.59,1249.2,1249.29,4905188
2015-05-27,Gold,Commodity,1259.83,1252.08,1243.27,1249.2,3900981
2015-05-28,Gold,Commodity,1252.47,1250.48,1232.12,1246.43,4010004
2015-05-29,Gold,Commodity,1245.54,1275.61,1232.43,1255.18,3942504
