Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,NASDAQ,Index,5041.33,5013.49,4993.59,5000,62776595
2015-01-02,NASDAQ,Index,5026.47,5072.99,5040.16,5045.78,71651122
2015-01-05,NASDAQ,Index,4959.21,4971.35,4965.24,4967.91,96717840
2015-01-06,NASDAQ,Index,5033.4,5092.08,4980.24,5016.71,57103204
2015-01-07,NASDAQ,Index,4960.97,4987.35,4860.84,4955.73,86508032
2015-01-08,NASDAQ,Index,5099.91,5109.65,5067.33,5070.24,60094344
2015-01-09,NASDAQ,Index,5080.06,5099.04,5079.21,5092.04,91708708
2015-01-12,NASDAQ,Index,5113.33,5128.2,5066.88,5125.0,98149611
2015-01-13,NASDAQ,Index,5091.57,5092.22,4973.76,5062.01,77044516
2015-01-14,NASDAQ,Index,5016.81,5069.76,5006.55,5044.74,71791717
2015-01-15,NASDAQ,Index,5078.79,5153.78,5036.78,5089.41,89195945
2015-01-16,NASDAQ,Index,5096.75,5069.9,5050.2,5068.67,100727915
2015-01-19,NASDAQ,Index,5139.68,5219.81,5080.17,5150.56,68316783
2015-01-20,NASDAQ,Index,5215.72,5194.85,5162.6,5173.34,95524356
2015-01-21,NASDAQ,Index,5159.03,5220.25,5066.35,5143.17,93933114
2015-01-22,NASDAQ,Index,5097.41,5113.13,4997.83,5092.3,92343890
2015-01-23,NASDAQ,Index,5178.95,5165.78,5130.24,5144.73,56417480
2015-01-26,NASDAQ,Index,5147.41,5170.43,5139.57,5158.04,102135422
2015-01-27,NASDAQ,Index,5172.35,5217.32,5082.88,5143.15,82458706
2015-01-28,NASDAQ,Index,5186.11,5195.71,5111.01,5143.5,90435812
2015-01-29,NASDAQ,Index,5186.67,5184.76,5128.4,5178.07,81637014
2015-01-30,NASDAQ,Index,5320.52,5346.05,5239.29,5312.96,61536602
2015-02-02,NASDAQ,Index,5372.41,5347.07,5311.39,5322.99,65135250
2015-02-03,NASDAQ,Index,5288.03,5337.8,5312.86,5318.5,101757302
2015-02-04,NASDAQ,Index,5320.4,5398.52,5332.08,5353.82,99036992
2015-02-05,NASDAQ,Index,5353.6,5362.38,5305.03,5345.22,90929061
2015-02-06,NASDAQ,Index,5396.04,5446.52,5385.58,5396.77,102146282
2015-02-09,NASDAQ,Index,5500.92,5550.44,5490.94,5496.64,57427990
2015-02-10,NASDAQ,Index,5580.85,5555.24,5531.03,5550.84,94428187
2015-02-11,NASDAQ,Index,5516.1,5633.45,5460.2,5554.42,66258118
2015-02-12,NASDAQ,Index,5418.86,5529.43,5404.97,5454.02,79270905
2015-02-13,NASDAQ,Index,5388.05,5434.6,5344.38,5382.77,86225655
2015-02-16,NASDAQ,Index,5458.53,5521.64,5354.33,5439.86,75992840
2015-02-17,NASDAQ,Index,5487.3,5486.04,5431.78,5444.71,59355000
2015-02-18,NASDAQ,Index,5455.39,5482.23,5406.09,5450.16,97137596
2015-02-19,NASDAQ,Index,5521.99,5578.69,5526.9,5530.55,82015723
2015-02-20,NASDAQ,Index,5569.85,5577.78,5529.95,5556.71,90456880
2015-02-23,NASDAQ,Index,5680.43,5670.36,5627.06,5666.33,83429659
2015-02-24,NASDAQ,Index,5749.89,5784.76,5676.42,5739.8,61689175
2015-02-25,NASDAQ,Index,5736.31,5825.34,5743.77,5783.41,87145225
2015-02-26,NASDAQ,Index,5738.95,5790.35,5725.08,5765.87,69727351
2015-02-27,NASDAQ,Index,5816.58,5869.46,5832.67,5845.76,83669596
2015-03-02,NASDAQ,Index,5840.02,5908.25,5856.98,5867.83,81228426
2015-03-03,NASDAQ,Index,5896.06,5915.35,5829.89,5890.61,75056486
2015-03-04,NASDAQ,Index,5840.58,5907.32,5804.75,5846.64,99130197
2015-03-05,NASDAQ,Index,5828.16,5852.4,5787.91,5826.56,73963012
2015-03-06,NASDAQ,Index,5801.26,5863.24,5847.0,5847.06,91422805
2015-03-09,NASDAQ,Index,5916.58,6023.65,5881.75,5892.43,74848542
2015-03-10,NASDAQ,Index,5984.04,5969.1,5938.33,5967.25,97827909
2015-03-11,NASDAQ,Index,5918.63,5960.33,5830.82,5871.7,64779538
2015-03-12,NASDAQ,Index,5864.54,5895.02,5827.45,5884.87,86315931
2015-03-13,NASDAQ,Index,5813.15,5902.11,5752.98,5833.75,87460461
2015-03-16,NASDAQ,Index,5854.73,5876.22,5848.35,5871.76,72902025
2015-03-17,NASDAQ,Index,5956.83,5994.04,5902.84,5971.41,94226211
2015-03-18,NASDAQ,Index,6186.44,6157.51,6014.54,6131.45,79987225
2015-03-19,NASDAQ,Index,6166.21,6265.49,6163.74,6207.53,58025943
2015-03-20,NASDAQ,Index,6272.76,6354.24,6239.84,6277.56,56525391
2015-03-23,NASDAQ,Index,6234.8,6277.94,6169.94,6257.14,62515119
2015-03-24,NASDAQ,Index,6356.19,6413.97,6333.27,6347.49,86265242
2015-03-25,NASDAQ,Index,6231.21,6301.74,6176.36,6242.57,71744275
2015-03-26,NASDAQ,Index,6233.21,6325.42,6251.91,6287.06,59635346
2015-03-27,NASDAQ,Index,6311.23,6403.86,6230.73,6301.45,88804308
2015-03-30,NASDAQ,Index,6480.54,6575.5,6383.05,6478.82,93793859
2015-03-31,NASDAQ,Index,6450.86,6504.12,6451.83,6502.04,93433021
2015-04-01,NASDAQ,Index,6420.4,6456.85,6411.58,6420.83,92683620
2015-04-02,NASDAQ,Index,6444.86,6445.26,6297.14,6412.78,69212644
2015-04-03,NASDAQ,Index,6337.13,6364.08,6317.7,6360.6,61922812
2015-04-06,NASDAQ,Index,6398.46,6385.24,6362.02,6385.18,86267756
2015-04-07,NASDAQ,Index,6518.05,6646.85,6405.89,6498.03,97743126
2015-04-08,NASDAQ,Index,6308.0,6460.72,6263.41,6364.76,57312319
2015-04-09,NASDAQ,Index,6421.42,6475.59,6341.54,6372.59,60382403
2015-04-10,NASDAQ,Index,6405.42,6444.44,6357.28,6410.56,58826842
2015-04-13,NASDAQ,Index,6382.63,6413.59,6322.19,6409.9,102844392
2015-04-14,NASDAQ,Index,6369.29,6412.41,6374.05,6384.38,89958206
2015-04-15,NASDAQ,Index,6414.69,6420.4,6385.48,6394.95,85889881
2015-04-16,NASDAQ,Index,6346.49,6422.72,6330.69,6349.52,83802002
2015-04-17,NASDAQ,Index,6294.64,6245.4,6208.87,6239.96,90644980
2015-04-20,NASDAQ,Index,6409.92,6448.63,6366.67,6409.7,101769736
2015-04-21,NASDAQ,Index,6236.4,6329.64,6283.28,6289.73,74574787
2015-04-22,NASDAQ,Index,6239.93,6224.22,6132.91,6179.75,81825248
2015-04-23,NASDAQ,Index,6101.06,6123.16,6096.6,6108.44,71538350
2015-04-24,NASDAQ,Index,6166.24,6248.27,6148.75,6207.81,91379460
2015-04-27,NASDAQ,Index,6170.82,6220.05,6082.68,6164.1,94914538
2015-04-28,NASDAQ,Index,6332.2,6297.94,6262.26,6291.36,96567477
2015-04-29,NASDAQ,Index,6209.51,6249.34,6133.15,6180.67,72157307
2015-04-30,NASDAQ,Index,6107.06,6174.73,6077.7,6115.61,70458239
2015-05-01,NASDAQ,Index,6009.32,6149.64,5920.21,6025.44,56776233
2015-05-04,NASDAQ,Index,6009.35,6022.72,6008.86,6013.46,84999930
2015-05-05,NASDAQ,Index,5976.78,5985.58,5930.8,5979.7,94234792
2015-05-06,NASDAQ,Index,6024.99,6063.84,5998.1,6012.43,83853362
2015-05-07,NASDAQ,Index,6079.45,6085.83,5940.8,6076.19,65873791
2015-05-08,NASDAQ,Index,5991.26,6057.23,5935.75,5986.19,82073288
2015-05-11,NASDAQ,Index,6053.21,6031.81,5936.83,6023.17,76656283
2015-05-12,NASDAQ,Index,6001.99,6079.06,5995.74,6044.52,56418919
2015-05-13,NASDAQ,Index,6023.74,6080.81,6056.65,6058.22,98865286
2015-05-14,NASDAQ,Index,6222.47,6207.81,6094.27,6167.5,57919772
2015-05-15,NASDAQ,Index,5925.69,6038.27,5928.42,5974.24,66459864
2015-05-18,NASDAQ,Index,6028.77,6077.6,5988.35,5993.36,102609407
2015-05-19,NASDAQ,Index,5993.21,6094.83,6013.54,6020.17,98271429
2015-05-20,NASDAQ,Index,6008.73,6143.23,5971.12,6061.71,64254732
2015-05-21,NASDAQ,Index,6032.26,6099.68,5967.48,6056.58,63884471
2015-05-22,NASDAQ,Index,6184.41,6172.98,6132.92,6170.81,82821504
2015-05-25,NASDAQ,Index,6233.96,6274.53,6253.85,6258.44,83925350
2015-05-26,NASDAQ,Index,6355.36,6372.38,6217.27,6312.88,93971686
2015-05-27,NASDAQ,Index,6331.08,6472.94,6385.41,6388.19,78215905
2015-05-28,NASDAQ,Index,6146.73,6157.45,6073.65,6133.31,75708636
2015-05-29,NASDAQ,Index,6030.87,6115.59,6033.22,6089.82,67368008
2015-06-01,NASDAQ,Index,6124.16,6097.54,6058.09,6068.06,60579211
2015-06-02,NASDAQ,Index,5929.39,5952.45,5894.32,5931.49,93836745
2015-06-03,NASDAQ,Index,5900.06,5939.71,5874.13,5907.83,71639924
2015-06-04,NASDAQ,Index,5930.41,6043.34,5908.92,5980.52,98212509
