Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,SP500,Index,1986.57,2022.96,1992.63,2000,75666715
2015-01-02,SP500,Index,1967.35,1989.65,1966.32,1977.31,123733106
2015-01-05,SP500,Index,1976.39,2010.11,1954.59,1981.16,104602392
2015-01-06,SP500,Index,1994.45,1994.63,1968.39,1991.55,101051889
2015-01-07,SP500,Index,2009.02,2050.86,1997.76,2017.08,80281831
2015-01-08,SP500,Index,2010.35,2052.06,1998.91,2019.9,78005322
2015-01-09,SP500,Index,2023.27,2060.93,2030.91,2036.49,83180185
2015-01-12,SP500,Index,2065.43,2069.7,2056.12,2059.75,102328992
2015-01-13,SP500,Index,2054.72,2076.4,2062.5,2063.17,118230865
2015-01-14,SP500,Index,2055.17,2077.05,2066.26,2069.52,99268862
2015-01-15,SP500,Index,2019.14,2031.23,2009.0,2024.15,74105386
2015-01-16,SP500,Index,2076.89,2093.44,2045.03,2068.49,111528155
2015-01-19,SP500,Index,2109.26,2095.91,2089.83,2095.89,121445573
2015-01-20,SP500,Index,2145.3,2133.67,2098.74,2127.86,98273418
2015-01-21,SP500,Index,2114.48,2132.23,2119.64,2125.0,124704209
2015-01-22,SP500,Index,2114.63,2137.95,2093.95,2111.7,99441881
2015-01-23,SP500,Index,2126.04,2169.84,2121.05,2132.69,99668891
2015-01-26,SP500,Index,2144.71,2144.65,2122.68,2134.8,88094819
2015-01-27,SP500,Index,2137.49,2154.31,2115.01,2131.69,83613998
2015-01-28,SP500,Index,2109.07,2097.91,2073.26,2097.37,104577173
2015-01-29,SP500,Index,2089.19,2116.83,2057.6,2083.9,126192779
2015-01-30,SP500,Index,2128.29,2118.59,2095.14,2111.09,106290497
2015-02-02,SP500,Index,2094.65,2105.37,2095.75,2102.04,117702182
2015-02-03,SP500,Index,2112.22,2124.39,2090.85,2105.97,103087743
2015-02-04,SP500,Index,2097.26,2104.77,2078.61,2090.68,76406428
2015-02-05,SP500,Index,2096.53,2106.71,2078.27,2079.04,116520148
2015-02-06,SP500,Index,2109.73,2115.12,2096.42,2102.28,129357881
2015-02-09,SP500,Index,2103.74,2107.56,2103.13,2105.16,102041549
2015-02-10,SP500,Index,2105.6,2134.16,2120.04,2125.69,102837425
2015-02-11,SP500,Index,2098.72,2115.05,2058.81,2097.6,71102249
2015-02-12,SP500,Index,2098.34,2106.57,2091.31,2099.95,120890814
2015-02-13,SP500,Index,2099.64,2124.73,2096.34,2104.61,101575991
