Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,TSLA,Stock,149.05,151.04,149.32,150,33131446
2015-01-02,TSLA,Stock,158.66,159.12,158.95,159.04,34126559
2015-01-05,TSLA,Stock,151.45,151.94,150.09,151.18,41324658
2015-01-06,TSLA,Stock,152.77,154.81,153.3,153.38,34583757
2015-01-07,TSLA,Stock,160.26,163.2,161.32,161.65,44766287
2015-01-08,TSLA,Stock,173.99,173.64,172.07,172.49,39010468
2015-01-09,TSLA,Stock,178.13,179.07,176.09,177.64,33129776
2015-01-12,TSLA,Stock,179.61,178.76,177.84,178.12,40654317
2015-01-13,TSLA,Stock,175.96,179.22,176.0,177.45,35928635
2015-01-14,TSLA,Stock,177.74,177.14,175.76,176.15,40934689
2015-01-15,TSLA,Stock,177.46,177.77,173.75,177.05,29358423
2015-01-16,TSLA,Stock,163.9,163.64,162.09,162.31,37739611
2015-01-19,TSLA,Stock,166.48,171.66,164.64,168.13,29043972
2015-01-20,TSLA,Stock,166.29,167.71,166.39,166.55,49157888
2015-01-21,TSLA,Stock,160.19,163.6,159.09,161.44,32284618
2015-01-22,TSLA,Stock,170.36,172.49,169.59,169.77,28820223
2015-01-23,TSLA,Stock,172.07,174.28,169.35,170.96,30808412
2015-01-26,TSLA,Stock,167.51,166.76,164.26,166.48,46520377
2015-01-27,TSLA,Stock,169.84,168.45,167.53,168.42,42317855
2015-01-28,TSLA,Stock,156.07,158.02,156.65,157.5,35762532
2015-01-29,TSLA,Stock,155.62,156.4,155.89,156.4,31244873
2015-01-30,TSLA,Stock,151.58,152.56,150.9,151.61,31523806
2015-02-02,TSLA,Stock,159.38,160.0,155.52,158.17,32626843
2015-02-03,TSLA,Stock,157.55,159.67,155.15,157.0,50543834
2015-02-04,TSLA,Stock,165.5,168.28,165.59,166.59,51834433
2015-02-05,TSLA,Stock,167.79,168.56,168.18,168.44,37735570
2015-02-06,TSLA,Stock,163.18,164.89,162.96,163.25,43512942
2015-02-09,TSLA,Stock,147.7,149.65,145.55,148.23,38627051
2015-02-10,TSLA,Stock,152.54,153.69,152.2,152.81,29417631
2015-02-11,TSLA,Stock,158.09,156.75,155.91,156.63,30848788
2015-02-12,TSLA,Stock,149.72,153.25,148.29,150.69,47741334
2015-02-13,TSLA,Stock,160.19,163.11,157.63,159.81,45542184
2015-02-16,TSLA,Stock,161.97,163.23,162.39,163.08,48155499
2015-02-17,TSLA,Stock,172.04,173.41,171.93,172.32,34421377
2015-02-18,TSLA,Stock,173.49,176.54,174.44,174.6,37758017
2015-02-19,TSLA,Stock,184.24,182.91,182.5,182.74,32613614
2015-02-20,TSLA,Stock,184.06,187.24,183.47,185.65,39272988
2015-02-23,TSLA,Stock,199.67,203.16,196.62,200.61,46320743
2015-02-24,TSLA,Stock,205.57,205.5,203.73,204.49,28741452
2015-02-25,TSLA,Stock,215.07,216.62,211.31,214.7,44101087
2015-02-26,TSLA,Stock,208.92,210.9,208.98,210.64,48750121
2015-02-27,TSLA,Stock,205.45,210.56,202.62,206.64,37780033
2015-03-02,TSLA,Stock,200.46,201.94,196.49,198.84,42229782
2015-03-03,TSLA,Stock,202.52,204.36,201.63,202.01,38210411
2015-03-04,TSLA,Stock,191.77,191.28,190.45,190.56,44545670
2015-03-05,TSLA,Stock,197.09,200.25,197.8,198.83,30935126
2015-03-06,TSLA,Stock,201.62,201.61,200.65,201.55,32841511
2015-03-09,TSLA,Stock,216.76,216.38,213.34,215.68,46384517
2015-03-10,TSLA,Stock,219.78,219.64,218.53,218.58,34664908
2015-03-11,TSLA,Stock,224.22,225.17,223.71,225.13,28687309
2015-03-12,TSLA,Stock,236.11,237.71,234.84,237.57,49764564
2015-03-13,TSLA,Stock,238.02,241.86,232.93,236.81,47827531
2015-03-16,TSLA,Stock,235.12,234.56,232.86,233.68,40964946
2015-03-17,TSLA,Stock,234.69,235.62,234.5,234.76,39046271
2015-03-18,TSLA,Stock,233.39,237.53,233.09,233.25,31496452
2015-03-19,TSLA,Stock,213.41,214.91,212.38,213.99,41631377
2015-03-20,TSLA,Stock,229.76,229.26,228.54,228.65,43665093
2015-03-23,TSLA,Stock,219.58,220.54,217.47,218.15,46805039
2015-03-24,TSLA,Stock,218.55,220.45,217.19,218.85,49609871
2015-03-25,TSLA,Stock,222.58,226.66,221.4,223.06,28255265
2015-03-26,TSLA,Stock,204.99,207.83,205.91,206.62,36669281
2015-03-27,TSLA,Stock,219.87,221.52,214.44,219.65,48556206
2015-03-30,TSLA,Stock,215.45,217.96,214.82,216.97,32891733
2015-03-31,TSLA,Stock,211.41,214.47,212.86,213.5,30692961
2015-04-01,TSLA,Stock,210.32,212.44,209.38,211.46,32009822
2015-04-02,TSLA,Stock,198.87,201.48,195.83,198.57,38545221
2015-04-03,TSLA,Stock,209.51,211.51,208.27,209.17,35535981
2015-04-06,TSLA,Stock,210.42,211.01,209.27,210.61,51919035
2015-04-07,TSLA,Stock,206.71,209.43,202.69,205.78,37650596
2015-04-08,TSLA,Stock,196.9,197.11,194.11,195.39,34639418
2015-04-09,TSLA,Stock,206.2,206.51,204.25,204.8,45176515
