Date,Asset,Type,Open,High,Low,Close,Volume
2015-01-01,USD_JPY,Forex,110.99,110.04,109.58,110,10756388
2015-01-02,USD_JPY,Forex,110.18,112.42,110.38,110.82,8323863
2015-01-05,USD_JPY,Forex,110.31,112.73,109.94,110.37,9862244
2015-01-06,USD_JPY,Forex,109.35,111.66,109.33,110.4,10131453
2015-01-07,USD_JPY,Forex,109.35,111.01,110.35,110.45,7791811
2015-01-08,USD_JPY,Forex,109.27,110.27,109.35,109.74,8727733
2015-01-09,USD_JPY,Forex,110.52,109.81,109.19,109.65,7708749
2015-01-12,USD_JPY,Forex,108.47,110.93,108.21,109.32,10008985
2015-01-13,USD_JPY,Forex,109.14,109.99,109.19,109.33,10089458
2015-01-14,USD_JPY,Forex,109.19,109.8,109.19,109.73,11498674
2015-01-15,USD_JPY,Forex,110.92,111.22,110.28,110.6,8384629
2015-01-16,USD_JPY,Forex,110.97,111.62,110.95,111.21,10394478
2015-01-19,USD_JPY,Forex,111.44,112.25,109.52,111.11,8592713
2015-01-20,USD_JPY,Forex,111.27,111.31,109.3,110.88,8085655
2015-01-21,USD_JPY,Forex,109.87,111.04,110.43,110.82,10909857
2015-01-22,USD_JPY,Forex,110.43,112.28,110.72,110.73,7706738
2015-01-23,USD_JPY,Forex,110.78,111.76,110.06,110.97,10735599
2015-01-26,USD_JPY,Forex,108.85,111.98,108.47,109.82,8310113
2015-01-27,USD_JPY,Forex,110.24,111.41,110.46,111.07,8280517
2015-01-28,USD_JPY,Forex,112.26,112.08,110.65,111.35,8413090
2015-01-29,USD_JPY,Forex,111.39,112.76,110.67,112.04,9523591
2015-01-30,USD_JPY,Forex,110.8,113.44,111.14,111.8,9974220
2015-02-02,USD_JPY,Forex,111.56,112.88,110.4,111.51,7473938
2015-02-03,USD_JPY,Forex,111.56,111.85,111.12,111.41,7061099
2015-02-04,USD_JPY,Forex,112.74,113.76,111.2,112.53,8963331
2015-02-05,USD_JPY,Forex,112.3,113.52,111.99,112.71,9183440
2015-02-06,USD_JPY,Forex,111.93,113.08,110.96,112.67,11051033
2015-02-09,USD_JPY,Forex,113.9,114.3,113.58,113.64,7608318
2015-02-10,USD_JPY,Forex,114.73,116.02,113.57,114.88,7604996
2015-02-11,USD_JPY,Forex,113.9,115.95,114.92,115.04,7968587
2015-02-12,USD_JPY,Forex,114.79,117.29,113.39,115.67,9196835
2015-02-13,USD_JPY,Forex,115.06,115.34,113.7,114.35,10031301
2015-02-16,USD_JPY,Forex,113.75,115.7,113.58,114.59,11347616
2015-02-17,USD_JPY,Forex,112.7,113.94,113.07,113.35,8635294
2015-02-18,USD_JPY,Forex,112.04,114.0,111.75,113.01,8313620
2015-02-19,USD_JPY,Forex,114.92,114.04,113.45,113.85,6773985
2015-02-20,USD_JPY,Forex,114.51,115.8,113.53,113.68,8064528
2015-02-23,USD_JPY,Forex,113.01,113.74,112.74,113.01,11685116
2015-02-24,USD_JPY,Forex,112.88,115.57,111.58,112.91,11016915
2015-02-25,USD_JPY,Forex,114.32,114.15,113.26,114.12,7297734
2015-02-26,USD_JPY,Forex,114.09,115.72,113.46,115.07,10972235
2015-02-27,USD_JPY,Forex,115.46,115.98,113.83,115.34,9148967
2015-03-02,USD_JPY,Forex,114.27,114.76,114.58,114.65,10135788
2015-03-03,USD_JPY,Forex,115.11,115.04,114.22,114.83,8698467
2015-03-04,USD_JPY,Forex,114.27,115.67,113.8,114.2,7669029
2015-03-05,USD_JPY,Forex,114.57,115.66,114.52,114.67,8078900
2015-03-06,USD_JPY,Forex,113.75,114.62,112.99,113.77,7878018
2015-03-09,USD_JPY,Forex,113.26,114.25,111.42,112.88,9734476
2015-03-10,USD_JPY,Forex,112.14,114.12,111.36,112.77,11268105
2015-03-11,USD_JPY,Forex,112.43,113.53,112.24,112.75,7538995
2015-03-12,USD_JPY,Forex,112.97,113.21,112.52,113.09,10868213
2015-03-13,USD_JPY,Forex,110.66,111.51,111.14,111.36,10605270
2015-03-16,USD_JPY,Forex,111.48,112.15,111.48,111.78,10121441
2015-03-17,USD_JPY,Forex,110.91,112.85,110.41,111.04,6665951
2015-03-18,USD_JPY,Forex,113.49,114.22,112.25,112.51,6966800
2015-03-19,USD_JPY,Forex,112.46,114.54,111.91,113.14,9117701
2015-03-20,USD_JPY,Forex,111.3,114.26,110.15,112.22,7702647
2015-03-23,USD_JPY,Forex,113.48,113.44,111.56,112.4,6743786
2015-03-24,USD_JPY,Forex,111.73,113.2,112.16,112.49,8731476
