Date,Open,High,Low,Close,Volume
2015-01-02,2058.90,2072.36,2046.04,2058.20,3539500000
2015-01-05,2054.44,2054.44,2017.34,2020.58,4287700000
2015-01-06,2022.15,2030.25,1992.44,2002.61,4597900000
2015-01-07,2005.55,2029.61,2005.55,2025.90,4148200000
2015-01-08,2030.61,2064.08,2030.61,2062.14,3805500000
2015-01-09,2063.45,2064.43,2038.33,2044.81,3930800000
2015-01-12,2046.36,2056.59,2036.31,2028.26,3680400000
2015-01-13,2029.55,2050.02,2023.45,2023.03,3787300000
2015-01-14,2022.61,2030.25,2013.15,2011.27,3689900000
2015-01-15,2007.27,2026.09,1979.06,1992.67,4532200000
2015-01-16,1992.45,2022.55,1988.12,2019.42,3807300000
2015-01-20,2022.11,2031.22,2013.33,2022.55,3631500000
2015-01-21,2023.88,2063.15,2023.88,2057.09,3844800000
2015-01-22,2057.33,2074.33,2052.09,2063.15,4032200000
2015-01-23,2061.67,2074.55,2059.82,2055.47,3752700000
2015-01-26,2056.11,2067.03,2050.88,2062.52,3607500000
2015-01-27,2062.71,2062.71,2041.09,2041.51,3903800000
2015-01-28,2041.33,2052.88,2027.33,2051.82,3987400000
2015-01-29,2051.09,2064.55,2043.62,2055.47,3906800000
2015-01-30,2054.27,2063.25,2036.09,2037.41,4618000000
2015-02-02,2039.33,2072.78,2039.33,2055.47,3893200000
2015-02-03,2057.88,2065.09,2040.25,2041.32,3764900000
2015-02-04,2042.09,2069.41,2042.09,2055.47,3516400000
2015-02-05,2057.33,2077.09,2057.15,2062.52,3607100000
2015-02-06,2064.88,2074.33,2057.09,2055.47,3487300000
2015-02-09,2055.27,2071.26,2053.15,2066.55,3241500000
2015-02-10,2068.09,2082.20,2059.88,2074.33,3516400000
2015-02-11,2076.88,2097.45,2076.88,2096.99,3607100000
2015-02-12,2098.15,2110.09,2096.27,2099.68,3368800000
2015-02-13,2100.33,2110.33,2096.88,2097.45,3278600000
2015-02-17,2098.88,2110.15,2094.33,2096.99,3516400000
2015-02-18,2097.88,2110.88,2095.88,2110.30,3368800000
2015-02-19,2111.33,2119.59,2109.88,2110.74,3278600000
2015-02-20,2109.88,2119.15,2104.27,2104.50,3516400000
2015-02-23,2106.09,2119.88,2104.88,2115.48,3241500000
2015-02-24,2116.33,2122.15,2110.55,2113.86,3368800000
2015-02-25,2113.27,2119.59,2104.33,2110.74,3487300000
2015-02-26,2109.88,2116.48,2096.33,2104.50,3607100000
2015-02-27,2103.88,2117.39,2091.50,2096.99,3764900000
2015-03-02,2098.33,2117.52,2096.88,2115.48,3607100000
2015-03-03,2116.88,2122.73,2110.33,2117.39,3368800000
