year,month,year_month,transactions,unique_invoices,unique_customers,unique_products,total_quantity,total_revenue,avg_transaction_value,returns_count,return_rate
2010,12,2010-12,42481,2025,949,2822,342228,748957.0199999774,17.630399943503622,798,0.01878486852946023
2011,1,2011-01,35147,1476,784,2645,308966,560000.2600000234,15.933088457052477,797,0.02267618857939511
2011,2,2011-02,27707,1393,799,2431,277989,498062.6500000268,17.976058396796002,523,0.01887609629335547
2011,3,2011-03,36748,1983,1021,2562,351872,683267.0800000281,18.593313377599546,833,0.022667900293893546
2011,4,2011-04,29916,1744,900,2558,289098,493207.1210000249,16.486399284664557,745,0.024903061906672016
2011,5,2011-05,37030,2162,1080,2505,380391,723333.51000001,19.533716176073725,738,0.0199297866594653
2011,6,2011-06,36874,2012,1052,2672,341623,691123.1200000228,18.742830178446138,818,0.022183652438032216
2011,7,2011-07,39518,1927,994,2748,391116,681300.1110000164,17.240247760514613,802,0.020294549319297535
2011,8,2011-08,35284,1737,981,2614,406199,682680.5100000176,19.348160922798368,718,0.020349166761138193
2011,9,2011-09,50226,2327,1303,2766,549817,1019687.622000011,20.301987456695954,903,0.017978736112770278
2011,10,2011-10,60742,2637,1426,2911,570532,1070704.670000038,17.62708949326723,1346,0.02215929669750749
2011,11,2011-11,84711,3462,1712,2963,740286,1461756.2499997574,17.25580208001036,1213,0.014319273766098853
2011,12,2011-12,25525,1015,687,2494,226333,433668.0100000171,16.989931831538378,390,0.015279138099902057
