StockCode,Description,transactions,total_quantity_sold,total_revenue,avg_unit_price,unique_customers,countries_sold
DOT,DOTCOM POSTAGE,708,708,206248.76999999996,291.31182203389824,2,1
22423,REGENCY CAKESTAND 3 TIER,2019,13890,174484.73999999985,13.963080733036142,882,30
23843,"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6,2.08,1,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2260,37603,104340.29000000023,3.1097610619469145,857,16
47566,PARTY BUNTING,1707,18299,99504.33000000007,5.790878734622112,709,20
85099B,JUMBO BAG RED RETROSPOT,2115,48478,94340.04999999974,2.4819338061465777,636,20
23166,MEDIUM CERAMIC TOP STORAGE JAR,250,78033,81700.92000000001,1.4684799999999998,139,10
M,Manual,327,7230,78110.27,226.62455657492353,202,13
POST,POSTAGE,1126,3150,78101.88,31.076580817051507,332,24
23084,RABBIT NIGHT LIGHT,1036,30788,66964.99000000012,2.3805019305019233,451,20
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1200,19355,64952.29000000009,3.3568333333333467,614,10
84879,ASSORTED COLOUR BIRD ORNAMENT,1489,36461,59094.930000000335,1.7222901276024267,679,16
79321,CHILLI LIGHTS,673,10309,54117.75999999998,6.759257057949486,206,5
23298,SPOTTY BUNTING,1160,8498,42548.13000000008,5.512456896551711,572,16
22386,JUMBO BAG PINK POLKADOT,1238,21465,42436.239999999954,2.5961147011308614,373,13
21137,BLACK RECORD COVER FRAME,379,11656,40652.12999999999,4.211899736147753,141,7
22502,PICNIC BASKET WICKER 60 PIECES,2,61,39619.5,649.5,1,1
23284,DOORMAT KEEP CALM AND COME IN,735,5491,38166.63999999998,8.774136054421765,379,15
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1399,7493,38158.39000000012,5.829292351679765,641,22
22960,JAM MAKING SET WITH JARS,1142,8717,37128.880000000005,5.067425569176879,574,26
82484,WOOD BLACK BOARD ANT WHITE FINISH,687,6020,36030.219999999965,8.439039301310068,286,13
20725,LUNCH BAG RED RETROSPOT,1594,19353,35752.00999999999,2.1277979924717583,533,19
22197,POPCORN HOLDER,829,36761,34298.87,1.0200120627261782,296,12
22178,VICTORIAN GLASS HANGING T-LIGHT,1047,24304,33187.97,1.6431041069722987,404,14
22114,HOT WATER BOTTLE TEA AND SYMPATHY,651,5748,33002.59000000001,5.011075268817203,326,10
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,838,10604,32873.34000000003,3.364188544152754,471,7
22112,CHOCOLATE HOT WATER BOTTLE,881,6026,32866.18000000002,6.058093076049962,383,13
85099F,JUMBO BAG STRAWBERRY,827,17276,32570.469999999983,2.370592503022974,316,11
22469,HEART OF WICKER SMALL,1226,17971,32107.79999999999,1.9579445350734013,574,12
23245,SET OF 3 REGENCY CAKE TINS,882,6357,31177.949999999968,5.877074829931984,473,24
21931,JUMBO STORAGE BAG SUKI,1197,13654,30770.120000000014,2.7448370927318346,334,15
22727,ALARM CLOCK BAKELIKE RED ,1074,7815,30701.119999999988,4.389050279329609,389,19
23199,JUMBO BAG APPLES,988,14920,30475.64999999992,2.5689372469635687,345,15
22470,HEART OF WICKER LARGE,945,9902,30139.409999999996,3.278730158730165,486,6
22355,CHARLOTTE BAG SUKI DESIGN,899,18152,29277.95000000002,1.2129365962180185,250,11
22699,ROSES REGENCY TEACUP AND SAUCER ,1084,9878,29095.269999999953,3.6514852398524043,424,21
23355,HOT WATER BOTTLE KEEP CALM,805,5841,28842.550000000003,5.267962732919264,475,13
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1190,12602,28634.950000000026,2.6838067226890807,376,15
22457,NATURAL SLATE HEART CHALKBOARD ,1263,9172,28147.959999999908,3.585977830562167,588,12
85099C,JUMBO  BAG BAROQUE BLACK WHITE,946,13922,28092.20000000003,2.6033826638477824,307,14
20685,DOORMAT RED RETROSPOT,700,4093,28082.53999999999,8.938728571428582,330,17
23201,JUMBO BAG ALPHABET,916,13379,27890.169999999976,2.3905567685589575,397,17
22726,ALARM CLOCK BAKELIKE GREEN,1000,6430,27196.53,4.533300000000001,323,15
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,471,9476,26463.829999999994,3.4023991507430993,193,12
21915,RED  HARMONICA IN BOX ,667,21933,26331.58,1.4247826086956523,350,17
22666,RECIPE BOX PANTRY YELLOW DESIGN,1133,8297,26240.599999999926,3.677325684024724,472,18
21175,GIN + TONIC DIET METAL SIGN,768,11727,25836.570000000058,2.7412890625000017,331,12
22629,SPACEBOY LUNCH BOX ,916,14260,25740.469999999965,2.1904148471615668,323,18
22961,JAM MAKING SET PRINTED,1169,16412,25660.979999999934,1.902968349016255,538,25
48138,DOORMAT UNION FLAG,620,3762,25609.59999999999,8.886322580645176,314,11
21181,PLEASE ONE PERSON METAL SIGN,865,12305,25290.57999999998,2.4230520231213943,362,9
23173,REGENCY TEAPOT ROSES ,425,2770,24918.929999999964,11.108705882352966,249,17
21621,VINTAGE UNION JACK BUNTING,487,2789,24542.830000000005,9.442135523613965,268,7
23203,JUMBO BAG VINTAGE DOILY ,724,11464,24522.359999999906,2.2987707182320536,364,14
